,LSOA,Borough,Ratio
1867,E01001971,Haringey,10.933333333333337
3589,E01003770,Redbridge,10.357142857142858
132,E01000146,Barnet,9.105263157894735
910,E01000958,Camden,8.666666666666671
4542,E01032771,Tower Hamlets,8.444444444444446
4973,E01035708,Camden,8.357142857142858
1898,E01002002,Haringey,7.277777777777775
289,E01000307,Barnet,6.86666666666667
4608,E01033587,Barking and Dagenham,6.722222222222226
2887,E01003037,Lambeth,6.666666666666666
1064,E01001118,Croydon,6.647058823529415
1963,E01002069,Haringey,6.520000000000002
4660,E01033791,Bexley,6.2631578947368425
1619,E01001701,Greenwich,6.18181818181818
4807,E01034220,Newham,6.094339622641512
312,E01000330,Bexley,6.032258064516129
4528,E01032639,Southwark,6.000000000000001
3433,E01003601,Newham,5.875
4877,E01034608,Hillingdon,5.842105263157898
1710,E01001808,Hackney,5.800000000000002
4775,E01034187,Greenwich,5.558823529411766
2952,E01003102,Lambeth,5.545454545454548
2764,E01002912,Kensington and Chelsea,5.450000000000001
1445,E01001507,Enfield,5.38095238095238
2507,E01002637,Hounslow,5.294117647058825
1380,E01001439,Enfield,5.250000000000002
305,E01000323,Barnet,5.1052631578947345
1495,E01001559,Enfield,5.062499999999997
4857,E01034581,Merton,5.000000000000003
220,E01000237,Barnet,4.933333333333332
1124,E01001178,Croydon,4.906249999999999
4792,E01034205,Newham,4.874999999999998
4706,E01033931,Brent,4.846153846153846
1738,E01001839,Hackney,4.823529411764704
4343,E01004588,Wandsworth,4.800000000000001
3786,E01003981,Southwark,4.799999999999999
753,E01000790,Bromley,4.769230769230768
4983,E01035718,Westminster,4.767441860465116
1924,E01002029,Haringey,4.731707317073169
4749,E01034145,Croydon,4.7250000000000005
1450,E01001513,Enfield,4.718750000000002
4474,E01004732,Westminster,4.687499999999999
3353,E01003521,Newham,4.685714285714283
1390,E01001450,Enfield,4.629629629629631
4847,E01034484,Redbridge,4.599999999999999
1759,E01001860,Hammersmith and Fulham,4.599999999999999
1282,E01001340,Ealing,4.517241379310343
1921,E01002026,Haringey,4.487804878048782
3973,E01004178,Sutton,4.481481481481482
1978,E01002085,Haringey,4.466666666666666
684,E01000719,Bromley,4.454545454545456
3322,E01003486,Newham,4.454545454545453
4644,E01033738,Greenwich,4.437499999999998
1118,E01001172,Croydon,4.428571428571427
175,E01000192,Barnet,4.421052631578946
541,E01000568,Brent,4.419354838709675
599,E01000631,Brent,4.3999999999999995
4215,E01004455,Waltham Forest,4.38095238095238
4498,E01004761,Westminster,4.333333333333334
176,E01000193,Barnet,4.333333333333333
2675,E01002819,Kensington and Chelsea,4.315789473684213
4621,E01033604,Westminster,4.26923076923077
4502,E01032512,Westminster,4.266666666666668
2555,E01002693,Hounslow,4.249999999999998
3134,E01003291,Lewisham,4.186046511627906
1929,E01002034,Haringey,4.166666666666668
4362,E01004609,Wandsworth,4.1282051282051295
4413,E01004661,Westminster,4.115384615384615
4515,E01032574,Enfield,4.115384615384613
4951,E01035686,Tower Hamlets,4.086956521739129
1494,E01001558,Enfield,4.083333333333331
3511,E01003689,Redbridge,4.051724137931036
4752,E01034148,Croydon,4.033333333333336
1668,E01001760,Hackney,3.999999999999999
4192,E01004430,Waltham Forest,3.9375
2703,E01002850,Kensington and Chelsea,3.9333333333333327
3837,E01004040,Southwark,3.8888888888888884
4182,E01004420,Waltham Forest,3.851851851851852
3221,E01003383,Merton,3.8461538461538454
4566,E01033083,Hounslow,3.846153846153845
2020,E01002129,Harrow,3.8305084745762703
3602,E01003783,Redbridge,3.8292682926829285
2838,E01002987,Kingston upon Thames,3.8260869565217392
2742,E01002889,Kensington and Chelsea,3.823529411764705
2547,E01002681,Hounslow,3.8181818181818166
2385,E01002505,Hillingdon,3.7837837837837838
814,E01000855,Camden,3.7755102040816335
811,E01000850,Camden,3.7749999999999986
3402,E01003570,Newham,3.760000000000001
1190,E01001247,Ealing,3.756097560975612
4425,E01004679,Westminster,3.739130434782607
2135,E01002248,Havering,3.714285714285714
964,E01001013,Croydon,3.711538461538459
1,E01000007,Barking and Dagenham,3.710526315789474
1875,E01001979,Haringey,3.696969696969697
4477,E01004735,Westminster,3.6736842105263148
4881,E01034612,Hillingdon,3.6250000000000004
3041,E01003193,Lewisham,3.6086956521739113
4623,E01033699,Hackney,3.60655737704918
4085,E01004322,Tower Hamlets,3.596153846153845
4487,E01004748,Westminster,3.594594594594595
4614,E01033594,Westminster,3.594594594594593
4836,E01034473,Barking and Dagenham,3.589285714285712
1544,E01001609,Greenwich,3.588235294117647
2021,E01002130,Harrow,3.585365853658536
4077,E01004310,Tower Hamlets,3.5555555555555562
1370,E01001429,Enfield,3.523809523809523
4935,E01035670,Tower Hamlets,3.5208333333333344
3388,E01003556,Newham,3.48148148148148
961,E01001010,Croydon,3.454545454545455
4003,E01004211,Tower Hamlets,3.451612903225807
2398,E01002521,Hillingdon,3.451612903225806
2889,E01003039,Lambeth,3.4285714285714266
4489,E01004750,Westminster,3.407407407407407
2705,E01002852,Kensington and Chelsea,3.3939393939393945
4051,E01004277,Tower Hamlets,3.38709677419355
577,E01000608,Brent,3.384615384615385
2897,E01003047,Lambeth,3.341772151898734
1044,E01001097,Croydon,3.3414634146341475
4785,E01034198,Greenwich,3.333333333333334
204,E01000221,Barnet,3.318181818181818
4456,E01004714,Westminster,3.3098591549295753
4878,E01034609,Hillingdon,3.3076923076923066
2863,E01003013,Lambeth,3.292929292929293
887,E01000930,Camden,3.2826086956521734
4038,E01004259,Tower Hamlets,3.2765957446808494
1971,E01002077,Haringey,3.272727272727273
4370,E01004617,Wandsworth,3.2727272727272725
2782,E01002930,Kingston upon Thames,3.260869565217392
4501,E01004765,Westminster,3.2586206896551726
4522,E01032582,Lambeth,3.254237288135593
2326,E01002444,Hillingdon,3.2317880794701974
4233,E01004474,Wandsworth,3.228571428571429
888,E01000931,Camden,3.224999999999999
992,E01001042,Croydon,3.2058823529411766
1082,E01001136,Croydon,3.1785714285714284
1926,E01002031,Haringey,3.1750000000000007
4929,E01035664,Tower Hamlets,3.148148148148149
83,E01000095,Barking and Dagenham,3.1470588235294126
855,E01000898,Camden,3.1388888888888897
4713,E01033938,Brent,3.13157894736842
4532,E01032741,Havering,3.114285714285714
3919,E01004123,Sutton,3.1111111111111103
4488,E01004749,Westminster,3.1063829787234063
4283,E01004525,Wandsworth,3.0821917808219172
1796,E01001898,Hammersmith and Fulham,3.0307692307692298
4759,E01034155,Sutton,3.0303030303030303
4776,E01034188,Greenwich,3.019607843137255
2926,E01003076,Lambeth,3.0000000000000004
4747,E01034143,Croydon,2.9999999999999996
4627,E01033704,Hackney,2.999999999999999
1962,E01002068,Haringey,2.9999999999999987
4643,E01033737,Greenwich,2.980392156862746
2168,E01002282,Havering,2.9761904761904776
4624,E01033700,Hackney,2.9722222222222245
872,E01000915,Camden,2.9666666666666686
4736,E01034040,Hounslow,2.9599999999999995
2731,E01002878,Kensington and Chelsea,2.9523809523809508
4760,E01034156,Sutton,2.9468085106382986
2758,E01002906,Kensington and Chelsea,2.9375000000000004
4726,E01034030,Ealing,2.9310344827586228
2819,E01002968,Kingston upon Thames,2.9302325581395365
1839,E01001943,Hammersmith and Fulham,2.926470588235295
3777,E01003969,Southwark,2.918918918918919
2891,E01003041,Lambeth,2.916666666666667
3347,E01003515,Newham,2.909090909090908
4830,E01034394,Lewisham,2.9062499999999996
4822,E01034386,Bromley,2.8865979381443303
1265,E01001323,Ealing,2.875
4898,E01035495,Wandsworth,2.871794871794872
2966,E01003118,Lambeth,2.8684210526315783
2241,E01002356,Havering,2.8661417322834635
2905,E01003055,Lambeth,2.849056603773584
607,E01000640,Brent,2.84
4499,E01004762,Westminster,2.837209302325582
4309,E01004551,Wandsworth,2.8305084745762707
2468,E01002598,Hounslow,2.8214285714285716
3754,E01003939,Southwark,2.8205128205128194
1931,E01002037,Haringey,2.818181818181818
1593,E01001673,Greenwich,2.818181818181818
2245,E01002361,Havering,2.8108108108108114
1643,E01001731,Hackney,2.810810810810811
610,E01000643,Brent,2.8000000000000007
2629,E01002772,Islington,2.787878787878787
1203,E01001261,Ealing,2.7777777777777777
4630,E01033708,Hackney,2.749999999999999
1788,E01001890,Hammersmith and Fulham,2.742857142857142
1101,E01001155,Croydon,2.741935483870967
2685,E01002831,Kensington and Chelsea,2.7400000000000007
924,E01000972,Camden,2.7272727272727275
1549,E01001615,Greenwich,2.7179487179487167
3996,E01004203,Tower Hamlets,2.6999999999999997
609,E01000642,Brent,2.687499999999999
2946,E01003096,Lambeth,2.6785714285714297
2870,E01003020,Lambeth,2.6774193548387086
1614,E01001696,Greenwich,2.675
1792,E01001894,Hammersmith and Fulham,2.6749999999999994
598,E01000630,Brent,2.6666666666666656
4787,E01034200,Newham,2.6588235294117633
1023,E01001076,Croydon,2.6451612903225796
2572,E01002711,Islington,2.604166666666668
4198,E01004438,Waltham Forest,2.6
383,E01000403,Bexley,2.5853658536585375
2924,E01003074,Lambeth,2.5769230769230758
344,E01000362,Bexley,2.5666666666666664
500,E01000524,Brent,2.5652173913043472
1595,E01001675,Greenwich,2.56
641,E01000676,Bromley,2.558823529411765
4159,E01004397,Waltham Forest,2.548780487804878
908,E01000956,Camden,2.5384615384615383
127,E01000141,Barnet,2.5384615384615383
4981,E01035716,Westminster,2.5236486486486496
1169,E01001225,Ealing,2.514285714285714
3694,E01003876,Richmond upon Thames,2.51388888888889
4011,E01004222,Tower Hamlets,2.5000000000000004
4611,E01033591,Redbridge,2.5000000000000004
3390,E01003558,Newham,2.5
2386,E01002506,Hillingdon,2.4920634920634934
1818,E01001920,Hammersmith and Fulham,2.482142857142856
4662,E01033862,Lambeth,2.480000000000001
4045,E01004270,Tower Hamlets,2.4799999999999986
2558,E01002696,Islington,2.4754098360655745
4076,E01004309,Tower Hamlets,2.474358974358973
1729,E01001830,Hackney,2.473684210526315
1275,E01001333,Ealing,2.4687500000000004
4088,E01004326,Tower Hamlets,2.4666666666666672
1567,E01001641,Greenwich,2.451612903225806
4702,E01033927,Enfield,2.4375000000000013
2238,E01002353,Havering,2.4363636363636365
1641,E01001729,Hackney,2.4310344827586206
342,E01000360,Bexley,2.4181818181818175
499,E01000523,Brent,2.416666666666666
1756,E01001857,Hammersmith and Fulham,2.4
2815,E01002964,Kingston upon Thames,2.4
4596,E01033491,Islington,2.3999999999999995
679,E01000714,Bromley,2.399999999999999
2594,E01002734,Islington,2.3880597014925375
1797,E01001899,Hammersmith and Fulham,2.3833333333333333
3747,E01003932,Southwark,2.379310344827586
4476,E01004734,Westminster,2.3754578754578755
1684,E01001780,Hackney,2.370370370370371
4684,E01033884,Southwark,2.3684210526315783
1301,E01001359,Ealing,2.3548387096774204
4976,E01035711,Camden,2.342342342342343
486,E01000510,Brent,2.3269230769230766
2482,E01002612,Hounslow,2.3260869565217392
876,E01000919,Camden,2.320987654320987
4871,E01034602,Hillingdon,2.320754716981132
2409,E01002535,Hillingdon,2.3200000000000007
4641,E01033735,Greenwich,2.3134328358208953
570,E01000601,Brent,2.2941176470588243
2885,E01003035,Lambeth,2.2894736842105257
1366,E01001425,Enfield,2.2857142857142856
3745,E01003929,Southwark,2.272727272727273
3047,E01003199,Lewisham,2.27027027027027
3740,E01003922,Southwark,2.2580645161290325
4584,E01033327,Lewisham,2.2448979591836746
1730,E01001831,Hackney,2.242424242424244
4473,E01004731,Westminster,2.2368421052631593
3144,E01003303,Lewisham,2.2333333333333334
2607,E01002748,Islington,2.2333333333333334
4001,E01004208,Tower Hamlets,2.2289156626506026
4475,E01004733,Westminster,2.228571428571429
2557,E01002695,Islington,2.2264150943396226
3828,E01004031,Southwark,2.218181818181819
2393,E01002514,Hillingdon,2.2068965517241375
4567,E01033084,Hounslow,2.2051282051282053
4030,E01004247,Tower Hamlets,2.1999999999999997
3145,E01003304,Lewisham,2.19672131147541
4634,E01033712,Hackney,2.1818181818181825
4500,E01004763,Westminster,2.175718849840256
4154,E01004392,Waltham Forest,2.17391304347826
559,E01000586,Brent,2.1714285714285713
2968,E01003120,Lambeth,2.1666666666666665
4629,E01033706,Hackney,2.152173913043479
4486,E01004747,Westminster,2.1470588235294117
1670,E01001762,Hackney,2.1428571428571437
497,E01000521,Brent,2.142857142857143
4934,E01035669,Tower Hamlets,2.1249999999999996
4975,E01035710,Camden,2.124999999999999
762,E01000799,Bromley,2.1228070175438596
2511,E01002641,Hounslow,2.0967741935483875
1309,E01001367,Ealing,2.0952380952380962
93,E01000105,Barking and Dagenham,2.0869565217391304
233,E01000250,Barnet,2.085714285714286
521,E01000548,Brent,2.0851063829787226
4478,E01004736,Westminster,2.0714285714285716
3714,E01003896,Richmond upon Thames,2.066666666666667
4074,E01004307,Tower Hamlets,2.06
2651,E01002794,Islington,2.0547945205479454
2627,E01002770,Islington,2.0485436893203888
3797,E01003994,Southwark,2.0425531914893615
3731,E01003913,Southwark,2.0285714285714294
1195,E01001252,Ealing,2.000000000000001
871,E01000914,Camden,1.9894736842105252
815,E01000856,Camden,1.9795918367346943
1646,E01001734,Hackney,1.9736842105263155
2566,E01002704,Islington,1.971428571428572
3443,E01003618,Newham,1.9705882352941184
4410,E01004658,Westminster,1.9620253164556964
2868,E01003018,Lambeth,1.9583333333333326
2294,E01002412,Hillingdon,1.9506172839506186
4442,E01004699,Westminster,1.9411764705882362
879,E01000922,Camden,1.9333333333333331
1774,E01001876,Hammersmith and Fulham,1.933333333333333
601,E01000633,Brent,1.9148936170212776
3163,E01003324,Lewisham,1.9142857142857148
4563,E01033030,Hounslow,1.9107142857142858
3739,E01003921,Southwark,1.8985507246376814
4732,E01034036,Hounslow,1.8923076923076931
518,E01000545,Brent,1.8913043478260865
2595,E01002735,Islington,1.871794871794872
4896,E01035493,Wandsworth,1.8695652173913047
894,E01000938,Camden,1.863636363636364
895,E01000939,Camden,1.830508474576271
822,E01000863,Camden,1.8229665071770345
1849,E01001953,Hammersmith and Fulham,1.8200000000000003
1279,E01001337,Ealing,1.8181818181818172
4609,E01033589,Redbridge,1.8095238095238102
3099,E01003255,Lewisham,1.8095238095238095
115,E01000129,Barnet,1.8064516129032264
4917,E01035652,Islington,1.8020833333333328
4906,E01035641,Hackney,1.7999999999999998
1303,E01001361,Ealing,1.7952755905511812
1837,E01001941,Hammersmith and Fulham,1.7798165137614679
4986,E01035721,Westminster,1.742424242424243
3157,E01003318,Lewisham,1.7327586206896555
1293,E01001351,Ealing,1.7294117647058824
2069,E01002179,Harrow,1.7234042553191493
3014,E01003166,Lambeth,1.7222222222222223
2591,E01002730,Islington,1.7073170731707321
861,E01000904,Camden,1.7073170731707314
2281,E01002397,Hillingdon,1.7017543859649118
2654,E01002797,Islington,1.6956521739130426
875,E01000918,Camden,1.684210526315789
4711,E01033936,Brent,1.6595744680851061
1148,E01001202,Ealing,1.6455696202531644
3839,E01004042,Southwark,1.631578947368421
2652,E01002795,Islington,1.6222222222222222
4519,E01032579,Lewisham,1.6200000000000003
4821,E01034385,Bromley,1.595238095238095
1779,E01001881,Hammersmith and Fulham,1.5833333333333337
484,E01000508,Brent,1.5744680851063835
2585,E01002724,Islington,1.5675675675675678
1798,E01001900,Hammersmith and Fulham,1.5641025641025634
4028,E01004244,Tower Hamlets,1.5588235294117643
4753,E01034149,Croydon,1.5583333333333327
3859,E01004062,Southwark,1.5538461538461545
3864,E01004067,Southwark,1.5267857142857142
4409,E01004657,Westminster,1.5106382978723407
1330,E01001389,Ealing,1.5
1974,E01002081,Haringey,1.4871794871794877
3444,E01003619,Newham,1.4852941176470584
4970,E01035705,Tower Hamlets,1.4838709677419362
4586,E01033455,Brent,1.4782608695652177
3791,E01003988,Southwark,1.4736842105263148
2587,E01002726,Islington,1.472222222222222
529,E01000556,Brent,1.4615384615384615
820,E01000861,Camden,1.4528301886792454
3807,E01004005,Southwark,1.4444444444444438
3294,E01003456,Merton,1.4262295081967213
2911,E01003061,Lambeth,1.4242424242424248
4754,E01034150,Croydon,1.4124293785310738
901,E01000947,Camden,1.4017094017094023
2600,E01002740,Islington,1.4000000000000006
694,E01000729,Bromley,1.3469387755102042
885,E01000928,Camden,1.2941176470588238
2873,E01003023,Lambeth,1.2340425531914894
2661,E01002805,Islington,1.222222222222222
1830,E01001932,Hammersmith and Fulham,1.2000000000000004
4959,E01035694,Tower Hamlets,1.1774193548387097
2592,E01002732,Islington,1.169230769230769
556,E01000583,Brent,1.1403508771929822
1192,E01001249,Ealing,1.1060606060606064
4073,E01004306,Tower Hamlets,1.1041666666666667
1161,E01001215,Ealing,1.0697674418604657
817,E01000858,Camden,0.9428571428571427
3811,E01004010,Southwark,0.8999999999999999
1329,E01001388,Ealing,0.8852459016393448
4674,E01033874,Southwark,0.8043478260869567
1597,E01001677,Greenwich,0.7575757575757575
