,LSOA,Borough,Major Category,Population,Mean,Normalised Deviation,Regression,Flat
47235,E01035670,Tower Hamlets,Burglary,8760,46.5,1432.2,0.046,21.73913043478261
24738,E01002735,Islington,Burglary,5908,44.0,1434.4,0.049,20.408163265306122
19309,E01002130,Harrow,Burglary,5846,45.9,1528.47,0.05,20.0
47616,E01035710,Camden,Burglary,5196,52.3,1867.11,0.054,18.51851851851852
13091,E01001437,Enfield,Burglary,4648,58.8,2299.08,0.059,16.949152542372882
39718,E01004397,Waltham Forest,Burglary,5792,57.2,2465.32,0.06,16.666666666666668
15657,E01001731,Hackney,Burglary,5330,54.2,2178.84,0.061,16.39344262295082
5234,E01000580,Brent,Burglary,4180,58.5,2345.85,0.061,16.39344262295082
47694,E01035718,Westminster,Burglary,5318,69.4,2887.04,0.062,16.129032258064516
16682,E01001849,Hackney,Burglary,4902,57.1,2323.97,0.062,16.129032258064516
47586,E01035707,Camden,Burglary,4926,58.2,2706.3,0.063,15.873015873015873
43826,E01033327,Lewisham,Burglary,4338,65.4,2701.02,0.063,15.873015873015873
43223,E01032582,Lambeth,Burglary,4562,71.3,2958.95,0.063,15.873015873015873
31972,E01003515,Newham,Burglary,4254,57.1,2403.91,0.064,15.625
34434,E01003783,Redbridge,Burglary,5098,60.3,2538.63,0.064,15.625
43358,E01032764,Tower Hamlets,Burglary,4772,63.4,2738.88,0.065,15.384615384615383
8743,E01000973,Camden,Burglary,5234,60.2,2666.86,0.067,14.925373134328357
41749,E01004617,Wandsworth,Burglary,3830,62.4,2814.24,0.068,14.705882352941176
47041,E01035650,Hackney,Burglary,4040,64.4,2885.12,0.069,14.492753623188404
44216,E01033700,Hackney,Burglary,4994,62.8,2882.52,0.07,14.285714285714285
16582,E01001839,Hackney,Burglary,4772,60.3,2755.71,0.07,14.285714285714285
12368,E01001361,Ealing,Burglary,4542,63.3,2937.12,0.07,14.285714285714285
41670,E01004609,Wandsworth,Burglary,4388,69.3,3354.12,0.072,13.88888888888889
26882,E01002968,Kingston upon Thames,Burglary,5874,69.4,3254.86,0.072,13.88888888888889
35608,E01003913,Southwark,Burglary,4150,72.1,3424.75,0.072,13.88888888888889
38915,E01004309,Tower Hamlets,Burglary,5686,63.6,3046.44,0.073,13.698630136986303
18411,E01002034,Haringey,Burglary,4942,62.6,3067.4,0.074,13.513513513513514
21368,E01002356,Havering,Burglary,4214,62.5,3068.75,0.075,13.333333333333334
27536,E01003039,Lambeth,Burglary,4054,62.5,3037.5,0.075,13.333333333333334
47646,E01035713,Kensington and Chelsea,Burglary,4078,72.6,3564.66,0.075,13.333333333333334
16011,E01001773,Hackney,Burglary,5000,59.4,2946.24,0.076,13.157894736842106
27878,E01003074,Lambeth,Burglary,4678,67.1,3368.42,0.076,13.157894736842106
36849,E01004062,Southwark,Burglary,4356,77.0,3842.3,0.076,13.157894736842106
42888,E01004749,Westminster,Burglary,4398,68.9,3410.55,0.076,13.157894736842106
17151,E01001898,Hammersmith and Fulham,Burglary,4200,68.8,3515.68,0.077,12.987012987012987
30159,E01003318,Lewisham,Burglary,4152,90.2,4762.56,0.08,12.5
25286,E01002794,Islington,Burglary,4056,77.6,4011.92,0.08,12.5
40917,E01004525,Wandsworth,Burglary,3866,72.0,3744.0,0.08,12.5
24450,E01002704,Islington,Burglary,4682,101.9,5329.37,0.08,12.5
38895,E01004307,Tower Hamlets,Burglary,4770,94.6,4957.04,0.081,12.345679012345679
38180,E01004208,Tower Hamlets,Burglary,3954,72.0,3880.8,0.082,12.195121951219512
25048,E01002770,Islington,Burglary,3788,75.3,4066.2,0.082,12.195121951219512
11294,E01001247,Ealing,Burglary,4652,88.5,5017.95,0.083,12.048192771084336
42095,E01004654,Westminster,Burglary,4950,78.9,4426.29,0.084,11.904761904761903
8387,E01000931,Camden,Burglary,4112,71.0,3869.5,0.084,11.904761904761903
1288,E01000146,Barnet,Burglary,3718,84.2,4664.68,0.085,11.76470588235294
42155,E01004661,Westminster,Burglary,4028,80.8,4524.8,0.086,11.627906976744187
1240,E01000141,Barnet,Burglary,3722,77.8,4341.24,0.086,11.627906976744187
11284,E01001246,Ealing,Burglary,3666,79.9,4546.31,0.087,11.49425287356322
17558,E01001943,Hammersmith and Fulham,Burglary,4450,82.1,4679.7,0.087,11.49425287356322
42584,E01004715,Westminster,Burglary,3708,77.3,4475.67,0.089,11.235955056179776
35785,E01003934,Southwark,Burglary,3996,83.6,4898.96,0.09,11.11111111111111
27285,E01003013,Lambeth,Burglary,3868,90.9,5454.0,0.092,10.869565217391305
40441,E01004474,Wandsworth,Burglary,3984,84.3,5091.72,0.092,10.869565217391305
42293,E01004681,Westminster,Burglary,3730,88.9,5405.12,0.093,10.75268817204301
35835,E01003939,Southwark,Burglary,3924,105.4,6492.64,0.093,10.75268817204301
44246,E01033704,Hackney,Burglary,4678,93.9,5737.29,0.093,10.75268817204301
33566,E01003689,Redbridge,Burglary,4460,71.9,4429.04,0.095,10.526315789473685
24509,E01002711,Islington,Burglary,4104,82.3,5151.98,0.095,10.526315789473685
14911,E01001641,Greenwich,Burglary,3712,95.6,6319.16,0.1,10.0
18431,E01002037,Haringey,Burglary,3372,104.3,7572.18,0.105,9.523809523809524
35747,E01003929,Southwark,Burglary,3962,130.5,9043.65,0.106,9.433962264150944
47626,E01035711,Camden,Burglary,4800,127.9,9170.43,0.108,9.25925925925926
44206,E01033699,Hackney,Burglary,2818,103.5,7400.25,0.11,9.090909090909092
8515,E01000947,Camden,Burglary,3312,95.4,6887.88,0.11,9.090909090909092
42125,E01004658,Westminster,Burglary,3096,112.1,8272.98,0.112,8.928571428571429
12848,E01001412,Enfield,Burglary,3562,87.9,6425.49,0.112,8.928571428571429
44315,E01033712,Hackney,Burglary,3078,88.5,6478.2,0.113,8.849557522123893
45212,E01034030,Ealing,Burglary,3668,86.3,6446.61,0.115,8.695652173913043
42554,E01004712,Westminster,Burglary,2988,99.4,7673.68,0.115,8.695652173913043
25660,E01002835,Kensington and Chelsea,Burglary,2808,104.5,7858.4,0.116,8.620689655172413
44635,E01033867,Southwark,Burglary,3102,102.0,7721.4,0.117,8.547008547008547
42738,E01004731,Westminster,Burglary,3992,105.1,8029.64,0.118,8.474576271186441
42439,E01004699,Westminster,Burglary,3490,122.5,9628.5,0.122,8.19672131147541
8238,E01000916,Camden,Burglary,3744,135.4,11197.58,0.123,8.130081300813009
25514,E01002818,Kensington and Chelsea,Burglary,2802,112.1,9024.05,0.124,8.064516129032258
35275,E01003876,Richmond upon Thames,Burglary,3754,98.4,8127.84,0.125,8.0
42303,E01004682,Westminster,Burglary,2584,118.1,9625.15,0.126,7.936507936507937
42564,E01004713,Westminster,Burglary,2614,126.9,11154.51,0.129,7.751937984496124
7750,E01000863,Camden,Burglary,2958,138.2,11553.52,0.129,7.751937984496124
43923,E01033489,Islington,Burglary,2842,116.3,10036.69,0.131,7.633587786259541
45486,E01034150,Croydon,Burglary,2624,123.1,10869.73,0.137,7.2992700729927
24639,E01002724,Islington,Burglary,3886,159.2,15187.68,0.139,7.194244604316546
42429,E01004698,Westminster,Burglary,2642,120.7,10923.35,0.139,7.194244604316546
42996,E01004762,Westminster,Burglary,3158,140.6,13033.62,0.144,6.944444444444445
42778,E01004735,Westminster,Burglary,4088,216.0,21729.6,0.147,6.802721088435375
7651,E01000851,Camden,Burglary,2944,161.8,16034.38,0.151,6.622516556291391
44266,E01033706,Hackney,Burglary,2854,162.8,16263.72,0.153,6.5359477124183005
45084,E01033938,Brent,Burglary,2554,133.8,13460.28,0.156,6.410256410256411
8258,E01000918,Camden,Burglary,3610,178.4,18357.36,0.157,6.369426751592357
44118,E01033594,Westminster,Burglary,3028,205.9,22319.56,0.164,6.097560975609756
42115,E01004657,Westminster,Burglary,2462,147.4,16464.58,0.172,5.813953488372094
7641,E01000850,Camden,Burglary,2822,188.4,21948.6,0.178,5.617977528089888
42574,E01004714,Westminster,Burglary,3334,220.0,26290.0,0.185,5.405405405405405
44276,E01033708,Hackney,Burglary,3766,292.1,37359.59,0.19,5.2631578947368425
43016,E01004765,Westminster,Burglary,3724,261.4,34687.78,0.196,5.1020408163265305
7671,E01000855,Camden,Burglary,2654,219.0,30265.8,0.2,5.0
8269,E01000919,Camden,Burglary,2918,223.2,29239.2,0.203,4.926108374384236
8218,E01000914,Camden,Burglary,2804,282.8,40383.84,0.205,4.878048780487805
42788,E01004736,Westminster,Burglary,3094,263.5,38866.25,0.225,4.444444444444445
43006,E01004763,Westminster,Burglary,4062,333.1,49198.87,0.227,4.405286343612334
42768,E01004734,Westminster,Burglary,3398,320.4,47419.2,0.229,4.366812227074235
42986,E01004761,Westminster,Burglary,2434,329.6,57844.8,0.256,3.90625
47674,E01035716,Westminster,Burglary,4402,550.0,130130.0,0.363,2.7548209366391188
