,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
47674,Westminster,E01035716,Burglary,4402,550.0,235.6,2.33
18155,Hackney,E01033708,Burglary,3766,292.1,126.9,2.3
47526,Westminster,E01004763,Burglary,4062,333.1,146.7,2.27
47288,Westminster,E01004734,Burglary,3398,320.4,147.0,2.18
47298,Westminster,E01004735,Burglary,4088,216.0,99.6,2.17
8812,Camden,E01000914,Burglary,2804,282.8,141.8,1.99
26799,Islington,E01002704,Burglary,4682,101.9,51.3,1.99
47536,Westminster,E01004765,Burglary,3724,261.4,131.7,1.98
47576,Westminster,E01033594,Burglary,3028,205.9,107.4,1.92
39047,Southwark,E01003929,Burglary,3962,130.5,68.3,1.91
47506,Westminster,E01004761,Burglary,2434,329.6,174.5,1.89
47094,Westminster,E01004714,Burglary,3334,220.0,118.5,1.86
42523,Tower Hamlets,E01004307,Burglary,4770,94.6,51.4,1.84
9397,Camden,E01035711,Burglary,4800,127.9,70.7,1.81
47308,Westminster,E01004736,Burglary,3094,263.5,146.5,1.8
31512,Lambeth,E01032582,Burglary,4562,71.3,40.5,1.76
8852,Camden,E01000918,Burglary,3610,178.4,101.9,1.75
32757,Lewisham,E01003318,Burglary,4152,90.2,51.8,1.74
39135,Southwark,E01003939,Burglary,3924,105.4,60.6,1.74
8863,Camden,E01000919,Burglary,2918,223.2,130.0,1.72
47694,Westminster,E01035718,Burglary,5318,69.4,40.6,1.71
26988,Islington,E01002724,Burglary,3886,159.2,94.4,1.69
8344,Camden,E01000863,Burglary,2958,138.2,82.6,1.67
8832,Camden,E01000916,Burglary,3744,135.4,81.7,1.66
8245,Camden,E01000851,Burglary,2944,161.8,98.1,1.65
18145,Hackney,E01033706,Burglary,2854,162.8,98.9,1.65
8235,Camden,E01000850,Burglary,2822,188.4,115.5,1.63
33188,Lewisham,E01033327,Burglary,4338,65.4,40.3,1.62
8265,Camden,E01000855,Burglary,2654,219.0,137.2,1.6
12094,Ealing,E01001247,Burglary,4652,88.5,55.7,1.59
46959,Westminster,E01004699,Burglary,3490,122.5,77.6,1.58
40149,Southwark,E01004062,Burglary,4356,77.0,48.9,1.57
18125,Hackney,E01033704,Burglary,4678,93.9,60.1,1.56
43002,Tower Hamlets,E01035670,Burglary,8760,46.5,29.8,1.56
1419,Barnet,E01000146,Burglary,3718,84.2,54.4,1.55
38908,Southwark,E01003913,Burglary,4150,72.1,46.5,1.55
13978,Enfield,E01001437,Burglary,4648,58.8,38.1,1.54
29816,Lambeth,E01003013,Burglary,3868,90.9,59.0,1.54
46645,Westminster,E01004658,Burglary,3096,112.1,72.8,1.54
47516,Westminster,E01004762,Burglary,3158,140.6,91.7,1.53
27635,Islington,E01002794,Burglary,4056,77.6,50.7,1.53
29385,Kingston upon Thames,E01002968,Burglary,5874,69.4,45.9,1.51
28904,Kensington and Chelsea,E01035713,Burglary,4078,72.6,48.1,1.51
9387,Camden,E01035710,Burglary,5196,52.3,34.7,1.51
5559,Brent,E01000580,Burglary,4180,58.5,39.1,1.5
42673,Tower Hamlets,E01032764,Burglary,4772,63.4,42.2,1.5
21060,Harrow,E01002129,Burglary,5382,47.4,31.9,1.49
46813,Westminster,E01004681,Burglary,3730,88.9,59.8,1.49
46675,Westminster,E01004661,Burglary,4028,80.8,55.0,1.47
19192,Hammersmith and Fulham,E01001943,Burglary,4450,82.1,56.0,1.47
46823,Westminster,E01004682,Burglary,2584,118.1,80.5,1.47
37618,Redbridge,E01003783,Burglary,5098,60.3,41.1,1.47
15877,Greenwich,E01001641,Burglary,3712,95.6,65.1,1.47
18327,Hackney,E01035650,Burglary,4040,64.4,43.8,1.47
18085,Hackney,E01033699,Burglary,2818,103.5,70.5,1.47
47084,Westminster,E01004713,Burglary,2614,126.9,86.9,1.46
46017,Wandsworth,E01004609,Burglary,4388,69.3,47.4,1.46
20133,Haringey,E01002037,Burglary,3372,104.3,71.6,1.46
39085,Southwark,E01003934,Burglary,3996,83.6,57.6,1.45
18064,Hackney,E01001849,Burglary,4902,57.1,39.7,1.44
12084,Ealing,E01001246,Burglary,3666,79.9,55.9,1.43
46615,Westminster,E01004654,Burglary,4950,78.9,55.1,1.43
42405,Tower Hamlets,E01004293,Burglary,4062,58.9,41.2,1.43
35975,Newham,E01034200,Burglary,3146,69.4,48.5,1.43
30682,Lambeth,E01003102,Burglary,3542,60.5,42.5,1.42
21070,Harrow,E01002130,Burglary,5846,45.9,32.3,1.42
47408,Westminster,E01004749,Burglary,4398,68.9,48.5,1.42
1371,Barnet,E01000141,Burglary,3722,77.8,54.8,1.42
10537,Croydon,E01001097,Burglary,4838,54.3,38.3,1.42
44788,Wandsworth,E01004474,Burglary,3984,84.3,59.4,1.42
27397,Islington,E01002770,Burglary,3788,75.3,53.0,1.42
39433,Southwark,E01003980,Burglary,4026,49.4,35.1,1.41
11591,Croydon,E01034150,Burglary,2624,123.1,87.3,1.41
28145,Kensington and Chelsea,E01002835,Burglary,2808,104.5,74.2,1.41
41698,Sutton,E01034156,Burglary,2706,81.7,57.9,1.41
27999,Kensington and Chelsea,E01002818,Burglary,2802,112.1,79.5,1.41
45264,Wandsworth,E01004525,Burglary,3866,72.0,51.0,1.41
6592,Bromley,E01000676,Burglary,4092,67.0,47.5,1.41
42982,Tower Hamlets,E01035668,Burglary,4142,57.1,40.4,1.41
46096,Wandsworth,E01004617,Burglary,3830,62.4,44.1,1.41
18095,Hackney,E01033700,Burglary,4994,62.8,44.9,1.4
42943,Tower Hamlets,E01035664,Burglary,5134,50.0,35.6,1.4
9337,Camden,E01000973,Burglary,5234,60.2,43.3,1.39
30223,Lambeth,E01003055,Burglary,3236,68.0,49.0,1.39
47258,Westminster,E01004731,Burglary,3992,105.1,75.4,1.39
47124,Westminster,E01004717,Burglary,2548,91.0,65.5,1.39
27087,Islington,E01002735,Burglary,5908,44.0,31.6,1.39
13168,Ealing,E01001361,Burglary,4542,63.3,45.4,1.39
34782,Newham,E01003515,Burglary,4254,57.1,41.1,1.39
30838,Lambeth,E01003120,Burglary,4778,48.0,34.8,1.38
15261,Enfield,E01033926,Burglary,5234,43.3,31.3,1.38
5614,Brent,E01000586,Burglary,4740,54.0,39.0,1.38
17039,Hackney,E01001731,Burglary,5330,54.2,39.2,1.38
18395,Hammersmith and Fulham,E01001857,Burglary,3102,49.1,35.5,1.38
18785,Hammersmith and Fulham,E01001898,Burglary,4200,68.8,50.1,1.37
9299,Camden,E01000969,Burglary,3626,72.4,52.7,1.37
2004,Barnet,E01000211,Burglary,4244,64.0,46.6,1.37
40377,Southwark,E01033867,Burglary,3102,102.0,74.7,1.37
26780,Islington,E01002702,Burglary,4864,43.5,32.1,1.36
32189,Lewisham,E01003255,Burglary,3902,55.9,41.2,1.36
17305,Hackney,E01001762,Burglary,3384,66.2,48.5,1.36
27832,Islington,E01033489,Burglary,2842,116.3,85.3,1.36
44026,Waltham Forest,E01004397,Burglary,5792,57.2,42.1,1.36
30409,Lambeth,E01003074,Burglary,4678,67.1,49.2,1.36
47104,Westminster,E01004715,Burglary,3708,77.3,56.9,1.36
42543,Tower Hamlets,E01004309,Burglary,5686,63.6,46.9,1.36
6937,Bromley,E01000714,Burglary,4284,59.2,43.6,1.36
41808,Tower Hamlets,E01004208,Burglary,3954,72.0,52.9,1.36
46949,Westminster,E01004698,Burglary,2642,120.7,89.5,1.35
28105,Kensington and Chelsea,E01002831,Burglary,3496,64.8,48.1,1.35
27852,Islington,E01033491,Burglary,3850,71.0,52.5,1.35
26721,Islington,E01002696,Burglary,3576,50.8,37.7,1.35
27891,Islington,E01035652,Burglary,2542,93.0,69.1,1.35
17964,Hackney,E01001839,Burglary,4772,60.3,44.7,1.35
30566,Lambeth,E01003090,Burglary,4732,48.1,35.5,1.35
4826,Brent,E01000499,Burglary,3758,52.6,39.0,1.35
13879,Enfield,E01001427,Burglary,3460,61.4,45.8,1.34
6275,Brent,E01033938,Burglary,2554,133.8,99.6,1.34
40281,Southwark,E01032583,Burglary,4104,52.7,39.3,1.34
6105,Brent,E01000642,Burglary,4424,58.6,43.6,1.34
23377,Havering,E01002370,Burglary,4934,45.9,34.3,1.34
8971,Camden,E01000930,Burglary,4212,54.2,40.3,1.34
9109,Camden,E01000947,Burglary,3312,95.4,71.2,1.34
26858,Islington,E01002711,Burglary,4104,82.3,61.6,1.34
27842,Islington,E01033490,Burglary,2812,99.8,74.3,1.34
20063,Haringey,E01002029,Burglary,4276,53.7,40.2,1.34
40542,Southwark,E01033884,Burglary,2166,91.5,68.4,1.34
19998,Haringey,E01002022,Burglary,4356,56.7,42.2,1.34
8981,Camden,E01000931,Burglary,4112,71.0,53.5,1.33
9198,Camden,E01000958,Burglary,5962,34.1,25.7,1.33
5226,Brent,E01000545,Burglary,3828,64.1,48.1,1.33
14679,Enfield,E01001513,Burglary,3960,57.0,42.8,1.33
2249,Barnet,E01000237,Burglary,4202,52.8,39.6,1.33
46635,Westminster,E01004657,Burglary,2462,147.4,110.7,1.33
7629,Bromley,E01000790,Burglary,4580,58.1,43.6,1.33
5588,Brent,E01000583,Burglary,4056,60.3,45.6,1.32
46910,Westminster,E01004694,Burglary,2960,102.9,78.0,1.32
2439,Barnet,E01000257,Burglary,4148,44.4,33.6,1.32
34239,Merton,E01003456,Burglary,3220,53.0,40.2,1.32
13801,Enfield,E01001419,Burglary,3954,50.3,38.0,1.32
42905,Tower Hamlets,E01035660,Burglary,2882,98.0,74.4,1.32
8293,Camden,E01000858,Burglary,3984,52.9,40.1,1.32
17442,Hackney,E01001780,Burglary,3632,57.5,43.7,1.32
2890,Barnet,E01000307,Burglary,3290,57.2,43.3,1.32
27077,Islington,E01002734,Burglary,4726,40.9,31.1,1.32
42513,Tower Hamlets,E01004306,Burglary,3742,58.9,45.0,1.31
30819,Lambeth,E01003118,Burglary,3756,48.9,37.2,1.31
42992,Tower Hamlets,E01035669,Burglary,2694,96.5,73.6,1.31
1400,Barnet,E01000144,Burglary,3312,70.9,54.3,1.31
30067,Lambeth,E01003039,Burglary,4054,62.5,47.6,1.31
21918,Harrow,E01002226,Burglary,5312,36.4,27.8,1.31
37782,Redbridge,E01033591,Burglary,5978,34.0,25.9,1.31
28009,Kensington and Chelsea,E01002819,Burglary,2212,113.3,86.8,1.31
17060,Hackney,E01001733,Burglary,3780,45.9,35.2,1.3
40263,Southwark,E01004074,Burglary,3502,60.1,46.4,1.3
15109,Enfield,E01001559,Burglary,4254,59.6,45.8,1.3
23254,Havering,E01002356,Burglary,4214,62.5,48.1,1.3
47074,Westminster,E01004712,Burglary,2988,99.4,76.2,1.3
34842,Newham,E01003521,Burglary,4374,61.7,47.4,1.3
20444,Haringey,E01002069,Burglary,4184,54.7,42.1,1.3
28914,Kensington and Chelsea,E01035714,Burglary,4206,48.5,37.4,1.3
47418,Westminster,E01004750,Burglary,3268,75.4,57.9,1.3
20113,Haringey,E01002034,Burglary,4942,62.6,48.0,1.3
31824,Lewisham,E01003215,Burglary,3786,67.1,51.6,1.3
2117,Barnet,E01000223,Burglary,4074,47.1,36.1,1.3
2494,Barnet,E01000264,Burglary,3638,65.6,50.5,1.3
28614,Kensington and Chelsea,E01002884,Burglary,2814,78.2,60.5,1.29
25146,Hillingdon,E01034608,Burglary,4792,46.4,35.9,1.29
10038,Croydon,E01001042,Burglary,4322,64.4,50.1,1.29
17432,Hackney,E01001777,Burglary,5314,55.5,43.3,1.28
44349,Waltham Forest,E01004430,Burglary,5342,44.9,35.1,1.28
5055,Brent,E01000524,Burglary,4768,49.5,38.7,1.28
8714,Camden,E01000904,Burglary,4170,53.7,41.9,1.28
9039,Camden,E01000938,Burglary,2766,93.4,73.1,1.28
9357,Camden,E01035707,Burglary,4926,58.2,45.5,1.28
46901,Westminster,E01004693,Burglary,2412,95.1,74.3,1.28
28845,Kensington and Chelsea,E01002909,Burglary,4266,41.4,32.3,1.28
28019,Kensington and Chelsea,E01002821,Burglary,2264,103.7,81.2,1.28
8413,Camden,E01000872,Burglary,3496,72.7,56.6,1.28
14097,Enfield,E01001450,Burglary,4730,41.5,32.3,1.28
8304,Camden,E01000859,Burglary,2972,74.8,58.4,1.28
27735,Islington,E01002805,Burglary,2926,77.2,60.2,1.28
11581,Croydon,E01034149,Burglary,4222,47.1,37.1,1.27
4923,Brent,E01000510,Burglary,3400,58.0,45.7,1.27
6115,Brent,E01000643,Burglary,4400,40.2,31.6,1.27
30144,Lambeth,E01003047,Burglary,3596,88.5,69.6,1.27
20083,Haringey,E01002031,Burglary,3746,56.5,44.6,1.27
34635,Newham,E01003497,Burglary,3366,55.0,43.3,1.27
3039,Barnet,E01000323,Burglary,4772,42.4,33.3,1.27
28634,Kensington and Chelsea,E01002886,Burglary,2620,90.0,70.7,1.27
39636,Southwark,E01004004,Burglary,5224,35.2,27.8,1.27
3909,Bexley,E01000403,Burglary,4764,46.4,36.5,1.27
32629,Lewisham,E01003303,Burglary,3486,64.6,51.4,1.26
16971,Hackney,E01001724,Burglary,5712,29.3,23.3,1.26
14580,Enfield,E01001501,Burglary,4390,49.6,39.4,1.26
2919,Barnet,E01000310,Burglary,4388,54.8,43.5,1.26
27136,Islington,E01002740,Burglary,4510,53.5,42.3,1.26
45088,Wandsworth,E01004506,Burglary,4402,50.0,39.7,1.26
24103,Hillingdon,E01002444,Burglary,3806,72.6,57.6,1.26
17245,Hackney,E01001756,Burglary,4088,63.0,50.1,1.26
